Phyla	Kingdom	Closest phyla	Ref
4484-113	incertae sedis	Multiple	
Abyssobacteria	Pseudomonodati		
Acidobacteriota	Pseudomonodati		
Actinomycetota	Bacilati		
Aerophobota	Pseudomonodati	Omnitropha	
Aquificota	Pseudomonodati		
Arandabacterota	Pseudomonodati		https://www.nature.com/articles/s41467-022-34388-1
Armatimonadota	Bacilati		
ARS69	Pseudomonodati	Eisenbacteria	https://www.nature.com/articles/s41467-022-34388-1
Atribacterota	Pseudomonodati		
AUK180	Pseudomonodati	Campylobacterota	
Auribacterota	Pseudomonodati		
B130-G9	Pseudomonodati	Acidobacterota	
Babelota	Pseudomonodati	Campylobacterota	
Bacillota	Bacilati		
Bacteroidota	Pseudomonodati		
Bacteroidota_A	Pseudomonodati		
Bdellovibrionota	Pseudomonodati		
Bdellovibrionota_B	Pseudomonodati		
Bdellovibrionota_G	Pseudomonodati		
Bipolaricaulota	incertae sedis	Thermotogota/Fusobacteriota	
Blakebacterota	Pseudomonodati	Gemmatimonadota	
BMS3Abin14	Pseudomonodati		
BS750m-G25	Pseudomonodati	Aquificota	
CAIJMQ01	Pseudomonodati	Omnitropha	
CAIWAD01	Pseudomonodati	Bacteroidota	
Caldisericota	Pseudomonodati		
Calditrichota	Pseudomonodati		
Calescibacteriota	Pseudomonodati		
CALINM01	Pseudomonodati	Desulfobacterota_G	
Campylobacterota	Pseudomonodati		
CG03	Pseudomonodati	Elusimicrobiota	
CG2-30-53-67	Pseudomonodati	Nitrospirota	
Chlamydiota	Pseudomonodati		
Chloroflexota	Bacilati		
Chrysiogenota	Pseudomonodati		
CLD3	Pseudomonodati	Bacteroidota	
Cloacimonadota	Pseudomonodati	Zixibacteria	https://enviromicro-journals.onlinelibrary.wiley.com/doi/10.1111/1758-2229.13061
Coprothermobacterota	Pseudomonodati		
CSSED10-310	Pseudomonodati	Acidobacterota	
Cyanobacteriota	Bacilati		
DASVDK01	Pseudomonodati	Desulfobacterota_E	
Deinococcota	Thermotogati		
Desantisbacteria	Pseudomonodati	Omnitrophota	
Desulfobacterota	Pseudomonodati		
Desulfobacterota_B	Pseudomonodati		
Desulfobacterota_C	Pseudomonodati		
Desulfobacterota_D	Pseudomonodati		
Desulfobacterota_E	Pseudomonodati		
Desulfobacterota_G	Pseudomonodati		
Desulfobacterota_I	Pseudomonodati		
DRYD01	incertae sedis	Fuso/Thermoto	
DYJV01	Pseudomonodati	Desulfobacterota_D	
Edwardsbacteria	Pseudomonodati	Zixibacteria	
Eisenbacteria	Pseudomonodati		https://www.nature.com/articles/s41467-022-34388-1
Electryoneota	Pseudomonodati		
Elusimicrobiota	Pseudomonodati		
FCPU426	Pseudomonodati	Omnitrophota	
Fermentibacterota	Pseudomonodati	Gemmatimonadota	
Fibrobacterota	Pseudomonodati		
Firestonebacteria	Pseudomonodati	Gemmatimonadota	
Fusobacteriota	Fusobacteriati		
GCA-2686955	Pseudomonodati	Gemmatimonadota	
Gemmatimonadota	Pseudomonodati		
Goldbacteria	Pseudomonodati	Firestonebacteria	
Hinthialibacterota	Pseudomonodati	Abyssobacteria	
Hydrogenedentota	Pseudomonodati		
J088	Pseudomonodati	Myxococcota	
JAAXHH01	Pseudomonodati	Zixibacteria	
JAAXVQ01	Pseudomonodati	Firestonebacteria	
JABMQX01	Pseudomonodati	Verrucomicrobiota	
JACPQY01	Pseudomonodati	Desulfobacterota_E	
JACPSX01	Pseudomonodati	Nitrospirota	
JACPWU01	Pseudomonodati	Verrucomicrobiota	
JACRDZ01	Pseudomonodati	Omnitropha	
JADJOY01	Pseudomonodati	Myxococcota	
JAFGBW01	Pseudomonodati	Verrucomicrobiota	
JAFGOL01	Pseudomonodati	Bdellovibrionota	
JAGOBX01	Incertae sedis		
JAGRBM01	Pseudomonodati	Myxococcota	
JAHJDO01	Pseudomonodati	Omnitropha	
JAJVIF01	Incertae sedis		
JAKLEM01	Pseudomonodati	Verrucomicrobiota	
JAMCPX01	Pseudomonodati	Aquificota	
JAPLJL01	Pseudomonodati	Desulfobacterota_E	
JAUVQV01	Pseudomonodati	Nitrospirota	
JAUXIB01	Pseudomonodati	Firestonebacteria	
JAUYMQ01	Pseudomonodati	Desulfobacterota_E	
JAWLBW01	Pseudomonodati	Myxococcota	
Joyebacterota	Pseudomonodati		https://www.nature.com/articles/s41467-022-34388-1
Krumholzibacteriota	Pseudomonodati		https://www.nature.com/articles/s41467-022-34388-1
Latescibacterota	Pseudomonodati		
Lernaellota	Pseudomonodati	Myxococcota	
Lindowbacteria	Incertae sedis		
Margulisbacteria	Bacilati		
Marinisomatota	Pseudomonodati		
Mcinerneyibacteriota	Pseudomonodati	Campylobacterota	
Methylomirabilota	Pseudomonodati	Nitrospirota	
Moduliflexota	Pseudomonodati		
Muiribacteriota	Incertae sedis		
Myxococcota	Pseudomonodati		
Myxococcota_A	Pseudomonodati		
Nitrospinota	Pseudomonodati		
Nitrospirota	Pseudomonodati		
Nitrospirota_A	Pseudomonodati		
Nitrospirota_B	Pseudomonodati		
NPL-UPA2	Pseudomonodati	Omnitropha	
Omnitrophota	Pseudomonodati		
Orphanbacterota	Pseudomonodati		https://www.nature.com/articles/s41467-022-34388-1
Patescibacteriota	Patescibacteriati		
Planctomycetota	Pseudomonodati		
Poribacteria	Pseudomonodati	Abyssobacteria	
Pseudomonadota	Pseudomonodati		
PUNC01	Pseudomonodati	Verrucomicrobiota	
Ratteibacteria	Pseudomonodati	Omnitropha	
RBG-13-61-14	Pseudomonodati	Myxococcota	
RBG-13-66-14	Pseudomonodati	Bacteroidota	
RUG730	Pseudomonodati	Omnitropha	
SAR324	Pseudomonodati	Bdellovibrionota	
Schekmanbacteria	Pseudomonodati	Nitrospirota_B	
SM23-31	Pseudomonodati	Bacteroidota_A	
Spirochaetota	Pseudomonodati		
Sumerlaeota	Pseudomonodati	Abyssobacteria	
Synergistota	Thermotogati		
Sysuimicrobiota	Bacilati		
SZUA-182	Pseudomonodati		
SZUA-79	Pseudomonodati	Desulfobacterota_G	
T1Sed10-126	Pseudomonodati	Campylobacterota	
TA06_A	Pseudomonodati	Zixibacteria	
Tectomicrobia	Pseudomonodati	Nitrospirota	
Thermodesulfobiota	Pseudomonodati		
Thermosulfidibacterota	Pseudomonodati		
Thermotogota	Thermotogati		
UBA10199	Pseudomonodati	Bdellovibrionota_F	
UBA1439	Pseudomonodati	Verrucomicrobiota	
UBA2233	Pseudomonodati	Pseudomonadota	
UBA3054	Pseudomonodati	Verrucomicrobiota	
UBA4055	Pseudomonodati	Bacteroidota	
UBA6262	Pseudomonodati	Omnitropha	
UBA6266	Pseudomonodati	Verrucomicrobiota	
UBA8248	Pseudomonodati	Nitrospirota	
UBA9089	Pseudomonodati	Omnitropha	
UBP13	incertae sedis		
UBP14	Pseudomonodati	Bacteroidota_A	
UBP15	incertae sedis		
UBP18	Pseudomonodati	Omnitropha	
UBP4	Pseudomonodati	Abyssobacteria	
UBP6	Pseudomonodati	Bdellovibrionota	
Verrucomicrobiota	Pseudomonodati		
Vulcanimicrobiota	incertae sedis		
WOR-3	incertae sedis		
Zhuqueibacterota	Pseudomonodati		
Zixibacteria	Pseudomonodati		